season,episode,timecode_in,timecode_out,duration_line,line_order,text_line
1,2,"00:16:06,423","00:16:08,343",1.92,218,It is too dangerous to get out of Songrim.
1,2,"00:16:08,425","00:16:10,045",1.62,219,We need to stay inside.
1,2,"00:16:11,345","00:16:13,255",1.91,220,Does it have to be that specific sword?
1,2,"00:16:13,347","00:16:15,137",1.79,221,Get another sword with that energy and do it here.
1,2,"00:16:15,224","00:16:17,354",2.13,222,I cannot. It has to be mine.
1,2,"00:16:18,602","00:16:20,102",1.50,223,Let us go out and find it.
1,2,"00:16:21,063","00:16:24,193",3.13,224,I will lure him out and then kill him.
1,2,"00:16:25,526","00:16:27,276",1.75,225,You said you became weak.
1,2,"00:16:30,280","00:16:32,530",2.25,226,I thought you were pretending to be clumsy.
1,2,"00:16:33,909","00:16:35,079",1.17,227,How weak have you become?
1,2,"00:16:38,163","00:16:39,583",1.42,228,The mages are coming.
1,2,"00:16:39,665","00:16:40,705",1.04,229,Stay alert.
1,2,"00:16:43,585","00:16:46,545",2.96,230,Why would I? They are on my side.
1,2,"00:16:48,048","00:16:50,548",2.50,231,Taking sides?
1,2,"00:16:48,048","00:16:50,548",2.50,232,Are you seriously that childish?
1,2,"00:16:50,634","00:16:52,474",1.84,233,Why are you talking casually in this situation?
1,2,"00:16:52,553","00:16:53,763",1.21,234,"Fine, Young Master."
1,2,"00:16:53,846","00:16:55,096",1.25,235,I will look down.
1,2,"00:16:55,806","00:16:56,966",1.16,236,Look at you.
1,2,"00:17:04,231","00:17:05,271",1.04,237,Who is she?
1,2,"00:17:06,066","00:17:09,106",3.04,238,"I am Mu-deok, his maid."
1,2,"00:17:11,613","00:17:13,623",2.01,239,"You heard her, right? She is my maid."
1,2,"00:17:14,199","00:17:15,909",1.71,240,"You all seem busy. Go on, then."
1,2,"00:17:15,993","00:17:18,413",2.42,241,"Let us go, Mu-deok."
1,2,"00:17:15,993","00:17:18,413",2.42,242,You may not leave.
1,2,"00:17:21,081","00:17:24,081",3.00,243,The leader ordered everyone to gather at the Training Center.
1,2,"00:17:26,420","00:17:27,840",1.42,244,I am not a member of Songrim.
1,2,"00:17:27,921","00:17:33,049",5.13,245,He wants every living thing within these walls to gather there.
1,2,"00:17:41,643","00:17:43,153",1.51,246,Uk.
1,2,"00:17:41,643","00:17:43,153",1.51,247,Hey.
1,2,"00:17:45,064","00:17:47,484",2.42,248,What is going on?
1,2,"00:17:45,064","00:17:47,484",2.42,249,Why are we gathered here?
1,2,"00:17:48,025","00:17:50,645",2.62,250,They are going to catch Naksu's men who are in here.
1,2,"00:17:52,821","00:17:54,071",1.25,251,Naksu?
1,2,"00:18:04,833","00:18:08,996",4.16,252,One of you has helped Naksu's men who sneaked in here today.
1,2,"00:18:09,838","00:18:10,838",1.00,253,My lord.
1,2,"00:18:10,923","00:18:14,093",3.17,254,Everyone here knows each other.
1,2,"00:18:14,176","00:18:17,806",3.63,255,"On the outside, you all look like those of Songrim."
1,2,"00:18:20,057","00:18:21,977",1.92,256,That is why I asked someone for help.
1,2,"00:18:23,185","00:18:26,435",3.25,257,Lady Jin Cho-yeon of the Jin family has brought Gwigu.
1,2,"00:19:02,099","00:19:03,139",1.04,258,"Hello, my lady."
1,2,"00:19:17,114","00:19:19,244",2.13,259,Why is Jang Uk here?
1,2,"00:19:20,325","00:19:21,365",1.04,260,I am not sure.
1,2,"00:19:32,004","00:19:34,974",2.97,261,"That must be Gwigu, the Jin family's heirloom."
1,2,"00:19:35,048","00:19:36,088",1.04,262,Gwigu?
1,2,"00:19:36,675","00:19:37,965",1.29,263,As in a dog?
1,2,"00:19:36,675","00:19:37,965",1.29,264,Yes.
1,2,"00:19:38,051","00:19:40,761",2.71,265,It is a ghost Sapsali that detects sorcery.
1,2,"00:19:45,350","00:19:48,811",3.46,266,There is a soul shifter among us.
1,2,"00:19:50,272","00:19:54,362",4.09,267,And Gwigu will find that individual.
1,2,"00:19:55,027","00:19:57,647",2.62,268,They look like one of us on the outside.
1,2,"00:19:57,738","00:20:01,118",3.38,269,But Gwigu will find the one who has a different soul within them.
1,2,"00:20:07,289","00:20:09,039",1.75,270,Close all the doors.
1,2,"00:20:09,124","00:20:10,004",0.88,271,"Yes, my lord!"
1,2,"00:20:09,124","00:20:10,004",0.88,272,"Yes, my lord!"
1,2,"00:20:14,796","00:20:22,468",7.67,273,Whoever tries to leave this building will be considered a spy and killed.
1,2,"00:20:23,931","00:20:25,061",1.13,274,You may begin.
1,2,"00:21:26,326","00:21:29,826",3.50,275,"The alchemy of souls, a type of sorcery, has one weakness."
1,2,"00:21:29,913","00:21:31,873",1.96,276,There is a gap between the body and the soul.
1,2,"00:21:31,957","00:21:34,377",2.42,277,The evil energy seeps out from it.
1,2,"00:21:34,459","00:21:36,839",2.38,278,And Gwigu can detect that.
1,2,"00:22:05,574","00:22:08,584",3.01,279,"Uk, feign ignorance even if I get caught."
1,2,"00:22:10,996","00:22:13,116",2.12,280,Is this loyalty?
1,2,"00:22:10,996","00:22:13,116",2.12,281,It is my duty.
1,2,"00:22:19,296","00:22:24,384",5.09,282,I do not want to become a laughingstock once they find out I asked you for help.
1,2,"00:22:24,468","00:22:25,968",1.50,283,Stay right by my side.
1,2,"00:22:27,137","00:22:30,807",3.67,284,No one here will let that thing attack me.
1,2,"00:23:01,922","00:23:03,302",1.38,285,He is a soul shifter! Get him!
1,2,"00:24:31,928","00:24:35,018",3.09,286,I heard soul shifters get petrified when they run wild and lose their energy.
1,2,"00:24:35,098","00:24:36,308",1.21,287,It was true.
1,2,"00:25:04,878","00:25:07,338",2.46,288,We thank you for your great help.
1,2,"00:25:08,715","00:25:10,965",2.25,289,I am sure one day we will ask you for help too.
1,2,"00:25:12,135","00:25:16,715",4.58,290,I see that Daeho's four families have all gathered here.
1,2,"00:25:16,806","00:25:18,886",2.08,291,I heard you are called the Four Seasons.
1,2,"00:25:19,476","00:25:22,646",3.17,292,Seeing you all together makes me happy.
1,2,"00:25:23,396","00:25:28,400",5.00,293,"We used to gather often, but it is our first time after Uk and Cho-yeon called off their wedding."
1,2,"00:25:29,903","00:25:31,283",1.38,294,You little…
1,2,"00:25:31,863","00:25:34,323",2.46,295,I told them to prepare some tea in the reception room.
1,2,"00:25:34,407","00:25:35,617",1.21,296,Please come.
1,2,"00:25:42,290","00:25:44,080",1.79,297,You were here as well.
1,2,"00:25:44,793","00:25:46,883",2.09,298,I heard you were kicked out of Gisan.
1,2,"00:25:46,962","00:25:48,512",1.55,299,Right.
1,2,"00:25:49,422","00:25:52,222",2.80,300,You should stop keeping track of what I am doing.
1,2,"00:25:54,970","00:25:57,890",2.92,301,Everyone was talking about how you got kicked out yet again.
1,2,"00:25:57,973","00:25:59,523",1.55,302,I just happened to hear it.
1,2,"00:25:59,599","00:26:00,929",1.33,303,I see.
1,2,"00:26:01,977","00:26:06,308",4.33,304,"Our precious guest here seems uncomfortable around me, so let me excuse myself."
1,2,"00:26:09,776","00:26:11,026",1.25,305,What a scumbag.
1,2,"00:26:12,904","00:26:13,954",1.05,306,Let us go.
1,2,"00:26:16,157","00:26:17,237",1.08,307,Let us go.
1,2,"00:26:29,254","00:26:31,674",2.42,308,"Hey, excuse me."
1,2,"00:26:32,757","00:26:34,717",1.96,309,Did you see my maid?
1,2,"00:26:35,302","00:26:37,932",2.63,310,"She is short, thin, and has a round face."
1,2,"00:26:38,013","00:26:39,313",1.30,311,Darn it.
1,2,"00:26:40,181","00:26:41,811",1.63,312,Where did she go?
1,2,"00:26:43,560","00:26:46,650",3.09,313,The spy the Danju had sent here was a soul shifter.
1,2,"00:26:48,315","00:26:49,975",1.66,314,I must find the Danju.
1,2,"00:27:01,119","00:27:03,539",2.42,315,"You were not loyal, but you said you knew your duties."
1,2,"00:27:04,122","00:27:06,042",1.92,316,Can you say the same thing about this?
1,2,"00:27:07,125","00:27:09,535",2.41,317,That is exactly why I am leaving you behind.
1,2,"00:27:09,627","00:27:12,047",2.42,318,My original plan was to take you with me and kill you.
1,2,"00:27:12,130","00:27:13,090",0.96,319,I see.
1,2,"00:27:13,882","00:27:15,262",1.38,320,How evil.
1,2,"00:27:15,342","00:27:19,012",3.67,321,"I am not the round-faced Mu-deok, your loyal maid."
1,2,"00:27:19,929","00:27:22,889",2.96,322,You are Naksu. The merciless assassin.
1,2,"00:27:25,560","00:27:28,310",2.75,323,You had the chance to kill me when I was bathing.
1,2,"00:27:28,396","00:27:30,606",2.21,324,I even risked my life bringing you here with me.
1,2,"00:27:31,858","00:27:37,029",5.17,325,It is up to you whether to still kill me now or become my master after opening my gate of energy.
1,2,"00:27:42,452","00:27:46,622",4.17,326,"By the way, you have the habit of glaring at others."
1,2,"00:27:46,706","00:27:48,956",2.25,327,"Keep doing that, and you will get caught."
1,2,"00:27:50,085","00:27:52,245",2.16,328,Can you see the mark from where you are at?
1,2,"00:27:53,671","00:27:54,711",1.04,329,No.
1,2,"00:27:57,634","00:27:58,594",0.96,330,What about now?
1,2,"00:28:01,429","00:28:02,849",1.42,331,I can see it since I know already.
1,2,"00:28:04,849","00:28:05,979",1.13,332,And now?
1,2,"00:28:13,400","00:28:15,110",1.71,333,I can definitely see it.
1,2,"00:28:15,193","00:28:17,863",2.67,334,But I doubt you will be this up-close with someone often.
1,2,"00:28:18,530","00:28:20,410",1.88,335,Just be careful when you kiss someone.
1,2,"00:28:22,742","00:28:24,622",1.88,336,Come on. I am just helping you out.
