season,episode,line,start_time,end_time,text
1,1,224,00:28:43:00,00:28:45:09,"This body is
unbelievably unhealthy and weak."
1,1,225,00:28:46:02,00:28:49:05,"I should not switch bodies too soon.
Let us stay as Mu-deok for now."
1,1,226,00:28:49:21,00:28:52:03,"I am sorry, Mister."
1,1,227,00:28:52:05,00:28:53:12,It is fine.
1,1,228,00:28:53:14,00:28:55:05,It is all because your body is weak.
1,1,229,00:28:55:24,00:28:57:03,Let us fill ourselves up.
1,1,230,00:29:09:24,00:29:10:20,"-Enjoy.
-Thank you."
1,1,231,00:29:10:22,00:29:12:16,"Today, let us eat good food."
1,1,232,00:29:12:18,00:29:14:03,It is chicken. Enjoy.
1,1,233,00:29:15:11,00:29:17:24,"As an assassin,
I am sensitive to the smell of blood."
1,1,234,00:29:18:01,00:29:21:23,"Thus, I do not eat animals that shed
the same colored blood as humans."
1,1,235,00:29:22:00,00:29:23:16,"-I will pass.
-Just eat."
1,1,236,00:29:31:16,00:29:34:06,It is my first time eating meat.
1,1,237,00:29:35:15,00:29:36:19,It is delicious.
1,1,238,00:29:41:13,00:29:42:15,Eat up.
1,1,239,00:29:42:17,00:29:46:08,"I really did not want to send you there,"
1,1,240,00:29:46:10,00:29:49:05,"but it was the only place
that agreed to take a blind person."
1,1,241,00:29:51:15,00:29:54:18,"""There""? Where are you talking about?"
1,1,242,00:29:57:13,00:30:00:16,"An old woman took her in
after she lost both her parents."
1,1,243,00:30:00:18,00:30:02:23,But she got sick and recently passed away.
1,1,244,00:30:03:00,00:30:05:12,"The debt she had due to her illness
got passed onto her,"
1,1,245,00:30:05:14,00:30:07:11,which is why she's here to be sold off.
1,1,246,00:30:07:13,00:30:08:12,I will be off now.
1,1,247,00:30:09:12,00:30:11:19,"You cannot sell
this poor soul to a brothel."
1,1,248,00:30:11:21,00:30:14:05,"-I wish you well.
-But…"
1,1,249,00:30:16:09,00:30:19:08,"I cannot believe he fed me chicken
just to sell me to this place."
1,1,250,00:30:19:11,00:30:22:14,"I will rip you to pieces
as soon as I regain my power."
1,1,251,00:30:23:01,00:30:25:03,You are way too skinny.
1,1,252,00:30:25:06,00:30:28:01,"I wonder if you will become prettier
if you become chubbier."
1,1,253,00:30:28:03,00:30:30:14,"Just give up.
Getting chubby will not make me prettier."
1,1,254,00:30:31:04,00:30:33:18,"I am useless and not suitable
to work at a brothel."
1,1,255,00:30:33:20,00:30:35:05,Sell me off to someplace else.
1,1,256,00:30:35:07,00:30:37:10,You talk very eloquently.
1,1,257,00:30:38:00,00:30:39:04,I heard you sing well.
1,1,258,00:30:39:06,00:30:41:15,I hope you sing as well as you talk.
1,1,259,00:30:44:09,00:30:47:06,"You should wash first.
And doll yourself up."
1,1,260,00:31:01:15,00:31:03:09,You even know how to dance?
1,1,261,00:31:03:23,00:31:05:01,Did it look like a dance?
1,1,262,00:31:05:24,00:31:09:03,"If my moves contained power,
your arm would have fallen right off."
1,1,263,00:31:12:09,00:31:15:00,"I am older than you,
so you should speak in honorifics."
1,1,264,00:31:15:03,00:31:17:11,"You better treat
our customers with respect too."
1,1,265,00:31:17:13,00:31:19:22,You just wait. I will kill you too.
1,1,266,00:31:21:04,00:31:25:00,"A lot of powerful people
come to our brothel."
1,1,267,00:31:25:14,00:31:28:19,"The Four Seasons of Daeho
are also regulars of Chwiseonru."
1,1,268,00:31:29:23,00:31:31:01,The four what?
1,1,269,00:31:31:03,00:31:34:10,"There are four different types
of beautiful people in Daeho Fortress."
1,1,270,00:31:34:12,00:31:36:15,And they are called the Four Seasons.
1,1,271,00:31:51:09,00:31:54:16,"The daughter of the Jin family
who has the vitality of spring."
1,1,272,00:31:55:12,00:31:56:10,Jin Cho-yeon.
1,1,273,00:32:11:23,00:32:14:20,"The heir of the Park family
who has the energy of a hot summer."
1,1,274,00:32:14:22,00:32:16:03,Park Dang-gu.
1,1,275,00:32:27:23,00:32:31:07,"The genius of the Seo family
who is as noble as the sunset in fall."
1,1,276,00:32:32:02,00:32:33:02,Seo Yul.
1,1,277,00:32:51:01,00:32:55:02,"Then there is Jang Uk,
the successor of the Jang family"
1,1,278,00:32:55:04,00:32:58:17,who is as dazzling as the winter snow.
1,1,279,00:33:06:10,00:33:09:03,"The Jin, Park, Seo, and Jang family."
1,1,280,00:33:09:05,00:33:12:06,"They are the most well-known
mage families in Daeho."
1,1,281,00:33:12:08,00:33:14:08,"Their children are known as
the Four Seasons."
1,1,282,00:33:15:11,00:33:18:01,"Is that what they are called
in the fortress?"
1,1,283,00:33:20:07,00:33:23:06,There is my summer prince.
1,1,284,00:33:28:03,00:33:30:05,"If he is the heir of the Park family,"
1,1,285,00:33:30:20,00:33:32:14,he must be Park Jin's nephew.
1,1,286,00:33:35:05,00:33:36:03,Park Jin.
1,1,287,00:33:39:17,00:33:42:03,He was there that night too.
1,1,288,00:33:51:16,00:33:52:17,Jin.
